"""protein""","""reactionCount""","""pathwayCount"""
"""P40189""",9,11
"""Q6FI13""",14,11
"""Q99217""",1,4
"""P02771""",1,4
"""Q9H082""",3,7
"""P49023""",8,9
"""P78504""",2,4
"""P54793""",1,8
"""Q9C0C7""",2,2
"""P12259""",1,4
"""Q7Z6M1""",3,4
"""P51587""",10,10
"""P05997""",13,4
"""Q96DA2""",2,7
"""P43146""",9,5
"""P19086""",2,4
"""O95470""",2,4
"""P61019""",1,3
"""Q04727""",2,4
"""P10721""",31,15
"""P59665""",1,5
"""Q99558""",2,8
"""Q00535""",6,15
"""O95980""",1,3
"""Q9NQC7""",1,4
"""Q9UKI2""",1,3
"""P35568""",18,30
"""P53779""",4,31
"""O60493""",1,4
"""Q16778""",10,12
"""P01008""",1,4
"""P04279""",1,3
"""O14492""",2,4
"""P59510""",2,4
"""Q8N9B5""",1,6
"""P31751""",35,69
"""P25054""",14,10
"""Q9GZT5""",3,3
"""Q6ZUJ8""",3,13
"""O95755""",1,3
"""O15164""",11,8
"""O43895""",1,3
"""Q8N387""",14,9
"""Q6UX82""",1,3
"""Q9HAT8""",7,21
"""P24298""",2,3
"""Q2PPJ7""",1,3
"""Q99741""",3,7
"""P02768""",1,4
"""P02462""",13,6
"""O43187""",18,31
"""P51692""",15,19
"""Q5JT25""",1,3
"""P16112""",13,8
"""Q9Y219""",2,4
"""P34896""",3,7
"""P29762""",2,4
"""P00441""",4,3
"""P11216""",6,7
"""P51114""",5,4
"""Q9HC84""",14,9
"""P63279""",68,31
"""Q6P5Z2""",1,4
"""Q8N0Z6""",6,6
"""Q14289""",2,4
"""Q6PIZ9""",4,13
"""O95677""",2,4
"""Q00613""",17,7
"""Q96B02""",1,4
"""P63165""",63,33
"""Q14982""",1,3
"""P10451""",1,4
"""Q9P283""",2,4
"""Q9UBT2""",6,6
"""P36896""",4,5
"""Q7Z569""",1,5
"""Q06124""",41,51
"""Q13555""",16,30
"""Q9Y2N7""",8,8
"""P13569""",17,12
"""P51884""",7,5
"""Q16763""",3,4
"""P68431""",112,55
"""Q12778""",6,14
"""P53992""",2,8
"""Q9UHI8""",2,4
"""O14672""",1,4
"""O43280""",1,3
"""P01215""",15,30
"""Q9UJU2""",1,4
"""Q9NPD7""",1,3
"""Q9BY14""",1,3
"""Q5SSG8""",14,9
"""P0C0L4""",19,10
"""O95644""",3,15
"""P0CG47""",17,13
"""P49815""",8,18
"""P51689""",1,8
"""O00194""",2,7
"""Q16553""",1,3
"""P98172""",8,4
"""Q9ULK5""",1,4
"""P35442""",2,4
"""P61106""",2,7
"""Q7Z3B1""",1,3
"""Q13636""",2,7
"""Q15797""",9,12
"""Q9Y6K9""",4,15
"""Q9NYA1""",2,5
"""Q9UBS0""",2,8
